id,addr,area,category,security_deposits,notes,stop
S1031007,嘉義市盧厝段5844建號(嘉義市林森東路722-18號房屋),113.07,," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21 平方公尺，持分面積63.04平方公尺(持分186/100000)。,否
S1031007,嘉義市盧厝段302地號,"23,422(持分186/100000)",住宅區," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21 平方公尺，持分面積63.04平方公尺(持分186/100000)。,否
S1031008,嘉義市盧厝段5830建號(嘉義市林森東路722-19號房屋),113.07,," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21 平方公尺，持分面積63.04平方公尺持分186/100000)。,否
S1031008,嘉義市盧厝段302地號,"23,422(持分186/100000)",住宅區," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21 平方公尺，持分面積63.04平方公尺持分186/100000)。,否
S1031009,嘉義市盧厝段5777建號(嘉義市林森東路722-20號房屋),108.13,," 331,000 ",1.房屋面積含主建物96.72平方公尺，附屬建物11.41平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積60.33平方公尺(持分178/100000)。,否
S1031009,嘉義市盧厝段302地號,"23,422(持分178/100000)",住宅區," 331,000 ",1.房屋面積含主建物96.72平方公尺，附屬建物11.41平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積60.33平方公尺(持分178/100000)。,否
S1031010,嘉義市盧厝段5750建號(嘉義市林森東路722-22號房屋),113.07,," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積63.04平方公尺(持分186/100000)。,否
S1031010,嘉義市盧厝段302地號,"23,422(持分186/100000)",住宅區," 346,000 ",1.房屋面積含主建物102.02平方公尺，附屬建物11.05平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積63.04平方公尺(持分186/100000)。,否
S1031011,嘉義市盧厝段5737建號(嘉義市林森東路722-23號房屋),128.67,," 393,000 ",1.房屋面積含主建物116.64平方公尺，附屬建物12.03平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積71.51平方公尺(持分211/100000)。,否
S1031011,嘉義市盧厝段302地號,"23,422(持分211/100000)",住宅區," 393,000 ",1.房屋面積含主建物116.64平方公尺，附屬建物12.03平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積71.51平方公尺(持分211/100000)。,否
S1031012,嘉義市盧厝段5700建號(嘉義市林森東路722-25號房屋),128.67,," 393,000 ",1.房屋面積含主建物116.64平方公尺，附屬建物12.03平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積,否
S1031012,嘉義市盧厝段302地號,"23,422(持分211/100000)",住宅區," 393,000 ",1.房屋面積含主建物116.64平方公尺，附屬建物12.03平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積,否
S1031013,嘉義市盧厝段5654建號(嘉義市林森東路722-28號房屋),71.22,," 218,000 ",1.房屋面積含主建物71.22平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積39.65平方公尺(持分117/100000),否
S1031013,嘉義市盧厝段302地號,"23,422(持分117/100000)",住宅區," 218,000 ",1.房屋面積含主建物71.22平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積39.65平方公尺(持分117/100000),否
S1031014,嘉義市盧厝段5653建號(嘉義市林森東路722-29號房屋),311.56,," 952,000 ",1.房屋面積含主建物311.56平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積173.52平方公尺(持分512/100000,否
S1031014,嘉義市盧厝段302地號,"23,422(持分512/100000)",住宅區," 952,000 ",1.房屋面積含主建物311.56平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積173.52平方公尺(持分512/100000,否
S1031015,嘉義市盧厝段5616建號(嘉義市林森東路722-30號房屋),217.98,," 666,000 ",1.房屋面積含主建物217.98平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積121.33平方公尺(持分358/100000,否
S1031015,嘉義市盧厝段302地號,"23,422(持分358/100000)",住宅區," 666,000 ",1.房屋面積含主建物217.98平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積121.33平方公尺(持分358/100000,否
S1031016,嘉義市盧厝段5603建號(嘉義市林森東路722-32號房屋),426.04,," 1,301,000 ",1.房屋面積含主建物426.04平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積237.24平方公尺(持分700/100000,否
S1031016,嘉義市盧厝段302地號,"23,422(持分700/100000)",住宅區," 1,301,000 ",1.房屋面積含主建物426.04平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積237.24平方公尺(持分700/100000,否
S1031017,嘉義市盧厝段5578建號(嘉義市林森東路722-33號房屋),486.29,," 1,486,000 ",1.房屋面積含主建物486.29平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積271.13 平方公尺(持分800/100000,否
S1031017,嘉義市盧厝段302地號,"23,422(持分800/100000)",住宅區," 1,486,000 ",1.房屋面積含主建物486.29平方公尺，權利範圍全部，共同使用部份建號6062面積33891.21平方公尺，持分面積271.13 平方公尺(持分800/100000,否
S1033401,高雄市楠梓區右昌段6小段1613地號, 94, 第三種住宅區," 308,000 ",地上為水泥柱鐵網圍籬內雜草及泥土地、果樹等，以書面方式按現狀辦理點交，地上物概由得標人自理。,否
S1033402,高雄市楠梓區右昌段4小段920-3地號, 160.00, 第四種住宅區," 655,000 ",1.抵稅土地。,否
S1033403,"高雄市楠梓區
和平段2小段125地號
", 59.00, 第四種住宅區," 338,000 ",1.抵稅土地。,否
S1033404,高雄市楠梓區和平段2小段126地號, 33.00(權利範圍2045/10000), 第四種住宅區," 39,000 ",1.抵稅土地。,否
S1033405,高雄市楠梓區楠梓段4小段741地號, 1229.00(權利範圍1/40), 第五種住宅區," 155,000 ",1.地上為高楠公路1717巷7號4樓之2(5層樓之第4層)國有房屋，另有附屬建物(陽台)面積8.55平方公尺。按現狀辦理點交，地上物概由得標人自理。,否
S1033405,高雄市楠梓區楠梓段4小段441建號, 73.96, ," 155,000 ",1.地上為高楠公路1717巷7號4樓之2(5層樓之第4層)國有房屋，另有附屬建物(陽台)面積8.55平方公尺。按現狀辦理點交，地上物概由得標人自理。,否
S1033406,高雄市楠梓區後勁段2小段709-7地號, 112.00(權利範圍1/4), 第三種住宅區," 88,000 ",1.地上為土石地、水泥地、樹木等，按現狀辦理點交，地上物概由得標人自理。,否
S1033407,高雄市楠梓區右昌段4小段711、713地號, 245.00, 第三種商業區," 1,701,000 ",1.抵稅地。,否
