id, address, area, category, base price, sale price, competitors count, notes
N1030401, 新北市新店區青潭段楣子寮小段0095-0002地號, 719.00/(持分1/2), 山坡地保育區林業用地, "1,545,850", , , 
N1030402, 新北市新店區青潭段楣子寮小段0097-0021地號, 267.00/(持分1/2), 山坡地保育區丙種建築用地, "1,174,800", , , 
N1030403, 新北市永和區及人段0365-0000地號, 104.00, 住宅區, "13,936,000", , , 
N1030404, 新北市三峽區隆恩段0292-0000地號, 473.38/(持分4/136), 一般農業區農牧用地, "228,370", "235,000", 1, 
N1030404, 新北市三峽區隆恩段0292-0000地號, 473.38/(持分4/136), 一般農業區農牧用地, "228,370", "235,000", 1, 
N1030405, 新北市三峽區隆恩段0294-0000地號, 174.66/(持分4/136), 一般農業區農牧用地, "84,214", "90,000", 1, 
N1030405, 新北市三峽區隆恩段0294-0000地號, 174.66/(持分4/136), 一般農業區農牧用地, "84,214", "90,000", 1, 
N1030406, 臺北市大同區迪化段一小段0408-0000地號, 57.00/(持分1/2), 第三種商業區, "5,700,000", , , 
N1030407, 臺北市大同區迪化段一小段0408-0001地號, 11.00/(持分1/2), 道路用地, "1,100,000", , , 
N1030408, 臺北市松山區敦化段一小段0390-0000地號, 7.00/(持分4/81), 第三種住宅區, "164,500", "588,888", 8, 
N1030409, 新北市蘆洲區民權段0616-0000地號, 1044.99/(持分12/672), 住宅區, "3,455,832", "5,881,000", 2, 
N1030409, 新北市蘆洲區民權段0616-0000地號, 1044.99/(持分12/672), 住宅區, "3,455,832", "5,881,000", 2, 
N1030410, 新北市淡水區天生段1166-0000地號, 196.23/(持分3911/8464), 特定農業區甲種建築用地, "1,360,050", "3,647,998", 3, 
N1030411, 新北市平溪區十分寮段十分寮小段0370-0007地號, 326.00, 鄉村區乙種建築用地, "1,760,400", "9,000,000", 14, 
N1030412, 新北市雙溪區武丹坑段武丹坑小段0399-0012地號, 83.00, 鄉村區乙種建築用地, "207,500", "369,000", 2, 
N1030414, 新北市貢寮區貢寮段貢寮小段0474-0001地號, 3036.00, 一般保護區, "850,080", "850,800", 1, 
N1030415, 新北市貢寮區貢寮段貢寮小段0474-0003地號, 116.00, 農業區, "66,120", , , 
N1030416, 新北市貢寮區貢寮段貢寮小段0535-0007地號, 4251.00, 一般保護區, "1,190,280", "1,777,777", 2, 
N1030417, 新北市貢寮區貢寮段貢寮小段0535-0014地號, 337.00, 墓地, "94,360", "777,777", 3, 
N1030418, 臺北市文山區華興段一小段0433-0000地號, 61.00, 第三種住宅區, "8,654,387", "29,188,888", 3, 
N1030419, 臺北市文山區興安段四小段0217-0000地號, 783.00/(持分1/4), 機關用地, "15,643,166", , , 
N1030420, 臺北市文山區興安段四小段0217-0001地號, 431.00/(持分1/4), 道路用地, "8,462,793", "8,463,793", 1, 
N1030421, 臺北市文山區興安段四小段0217-0002地號, 118.00/(持分1/4), 第三種住宅區, "2,941,150", "2,942,150", 1, 
N1030422, 臺北市文山區興安段四小段0217-0003地號, 5.00/(持分1/4), 道路用地, "72,490", , , 
N1032001, 臺東縣台東市台東段513-3地號, 243.00, 商業區, "20,251,620", , , 
N1032002, 臺東縣台東市南榮段1003地號, 439.83（國有持分868/1000，面積約381.77平方公尺）, 住宅區, "11,734,380", , , 
N1032002, 臺東縣台東市南榮段1003-1地號, 50.78（國有持分868/1000，面積約44.08平方公尺）, 農業區, "11,734,380", , , 
N1032002, 臺東縣台東市南榮段1004地號, 645.21, 農業區, "11,734,380", , , 
N1032003, 臺東縣成功鎮忠仁段724地號, 593.35, 商業區, "11,392,320", , , 
N1032004, 臺東縣關山鎮中福段677地號, 74.08, 住宅區, "1,377,191", "1,680,000", 7, 標脫
N1032004, 臺東縣關山鎮中福段59建號, 140.96, , "1,377,191", "1,680,000", 7, 標脫
N1032005, 臺東縣東河鄉高原段474-2地號, 77.00, 森林區丙種建築用地, "247,940", , , 
N1032006, 臺東縣東河鄉高原段994-16地號, 6520.00, 森林區農牧用地, "3,972,470", "4,003,300", 1, 標脫
N1032006, 臺東縣東河鄉高原段1003地號, 213.00, 森林區農牧用地, "3,972,470", "4,003,300", 1, 標脫
N1031901, 花蓮縣花蓮市慈雲段201地號, 295.40, 農業區, "3,143,056", , , 
N1031902, 花蓮縣花蓮市慈雲段202地號, 135.01, 農業區, "1,436,506", , , 
N1031903, 花蓮縣花蓮市四維段72地號, 100.19, 農業區, "562,066", "600,000", 1, 
N1031904, 花蓮縣吉安鄉慈惠段1267地號, 123.04, 住一住宅區, "5,546,643", , , 
N1031905, 花蓮縣吉安鄉吉興段151-3地號, 2.95, 第一種商業區, "119,859", , , 
N1031906, 花蓮縣吉安鄉吉興段150-1地號, 3.59, 住宅區, "281,566", "281,600", 1, 
N1031906, 花蓮縣吉安鄉吉興段151-1地號, 3.34, 住宅區, "281,566", "281,600", 1, 
N1031907, 花蓮縣鳳林鎮鳳仁段151地號, 268, 農業區, "466,320", , , 
N1031701, 宜蘭縣宜蘭市金六結段五結小段113-22地號, 33.00, 住宅區, "2,421,230", , , 
N1031701, 宜蘭縣宜蘭市金六結段五結小段G0028建號之未辦保存登記建物（宜蘭市泰山路復國巷59號）, 33.57, 住宅區, "2,421,230", , , 
N1031702, 宜蘭縣宜蘭市建蘭段135地號, 141.00, 農業區, "7,657,710", "8,000,000", 1, 得標
N1031703, 宜蘭縣壯圍鄉新福段860地號, 173.00, 特定農業區甲種建築用地, "1,868,400", "1,989,999", 3, 得標
N1031704, 宜蘭縣壯圍鄉新福段861地號, 103.00, 特定農業區農牧用地, "462,470", , , 
N1031705, 宜蘭縣員山鄉員山段193地號, 624.47（國有持分165/400，面積約257.59平方公尺）, 農業區, "4,816,933", , , 
N1031706, 宜蘭縣員山鄉深洲段740地號, 151.16, 特定農業區甲種建築用地, "7,370,942", , , 
N1031706, 宜蘭縣員山鄉深洲段742地號, 374.96, 特定農業區甲種建築用地, "7,370,942", , , 
N1031707, 宜蘭縣羅東鎮東光段1160地號, 72.00, 住宅區, "5,135,040", "5,155,555", 1, 得標
N1031708, 宜蘭縣五結鄉三興段550地號, 21.32（國有持分7/10，面積約14.92平方公尺）, 住宅區, "1,757,242", , , 
N1031708, 宜蘭縣五結鄉三興段551地號, 154.36（國有持分7/10，面積約108.05平方公尺）, 住宅區, "1,757,242", , , 
N1031709, 宜蘭縣冬山鄉太和段430地號, 384.84, 一般農業區甲種建築用地, "4,560,354", , , 
N1031710, 宜蘭縣三星鄉二萬五段331地號, 356.63, 特定農業區甲種建築用地, "4,988,843", "5,036,000", 2, 得標
N1031710, 宜蘭縣三星鄉二萬五段332-2地號, 114.46, 特定農業區甲種建築用地, "4,988,843", "5,036,000", 2, 得標
N1031711, 宜蘭縣三星鄉頂義段688地號, 695.00, 特定農業區甲種建築用地, "10,800,300", "13,413,800", 3, 得標
N1031712, 宜蘭縣蘇澳鎮蘇市段825地號, 80.55, 商業區, "1,735,853", , , 
N1031713, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分18/10000，面積約1.62平方公尺）, 商業區, "402,535", , , 
N1031713, 宜蘭縣蘇澳鎮蘇港段113建號（蘇澳鎮蘇東中路14號八樓之9）, 約36.46, 商業區, "402,535", , , 
N1031714, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分33/10000，面積約2.97平方公尺）, 商業區, "913,974", , , 
N1031714, 宜蘭縣蘇澳鎮蘇港段119建號（蘇澳鎮蘇東中路14號九樓之6）, 約74.60, 商業區, "913,974", , , 
N1031715, 宜蘭縣蘇澳鎮蘇港段393地號, 899.53（國有持分20/10000，面積約1.80平方公尺）, 商業區, "475,902", , , 
N1031715, 宜蘭縣蘇澳鎮蘇港段129建號（蘇澳鎮蘇東中路14號九樓之16）, 約43.10, 商業區, "475,902", , , 
N1031601, 桃園縣桃園市會稽段257地號, 52.77(持分1/5), 住宅區, "991,911", , , 
N1031602, 桃園縣桃園市大樹林段9491建號, 431.35, 商業區, "28,778,190", , , 
N1031602, 桃園縣桃園市大樹林段1911地號, "1,630(持分3484/100000)", 商業區, "28,778,190", , , 
N1031603, 桃園縣桃園市龍鳳段329建號, 87.10, 第二種住宅區, "7,335,901", "7,399,900", 1, 
N1031603, 桃園縣桃園市龍鳳段512地號, 68.71, 第二種住宅區, "7,335,901", "7,399,900", 1, 
N1031604, 桃園縣八德市同福段86地號, 61.94, 農業區, "2,817,651", "3,031,000", 5, 
N1031606, 桃園縣楊梅市梅獅段772地號, 205.53, 住宅區, "5,285,935", , , 
N1031606, 桃園縣楊梅市梅獅段773地號, 13.15, 農業區, "5,285,935", , , 
N1031607, 桃園縣楊梅市秀才路178巷5弄23號, 347.20, 農業區, "5,334,266", "5,339,000", 1, 
N1031607, 桃園縣楊梅市大平段1230地號, 200.14, 農業區, "5,334,266", "5,339,000", 1, 
N1031608, 桃園縣龍潭鄉新烏樹林段184建號, 77.38, 一般農業區甲種建築用地, "3,329,926", , , 
N1031608, 桃園縣龍潭鄉新烏樹林段484地號, 51.38, 一般農業區甲種建築用地, "3,329,926", , , 
N1031609, 桃園縣龍潭鄉九座寮段2870建號, 161.70(含已登記面積100平方公尺，未登記面積61.70平方公尺), 鄉村區乙種建築用地, "3,309,900", , , 
N1031609, 桃園縣龍潭鄉九座寮段196-168地號, 65.00, 鄉村區乙種建築用地, "3,309,900", , , 
N1031501, 基隆市仁愛區延平段201地號、201-2地號, 62.81（持分1/1）, （201地號）住宅區（住三）（201-2地號）(商業區), "5,741,239", "8,186,000", 3, 
N1031501, 基隆市仁愛區延平段224建號(愛七路9號), 73.28, （201地號）住宅區（住三）（201-2地號）(商業區), "5,741,239", "8,186,000", 3, 
N1031502, 基隆市安樂區大武崙段內寮小段193-7地號, 22（國有持分1/5，面積4.4平方公尺）, 保護區, "13,200", , , 
N1031503, 基隆市安樂區大武崙段內寮小段193-8地號, 30（國有持分1/5，面積6平方公尺）, 保護區, "18,000", , , 
N1031504, 基隆市安樂區武嶺段547地號, 111.48（國有持分7/30，面積26.01平方公尺）, 保護區, "78,030", , , 
N1031505, 基隆市七堵區溪頭段172地號, 295.82（國有持分1/48，面積6.16平方公尺）, 倉儲區, "230,754", , , 
N1031506, 基隆市七堵區工建段380地號, 22（國有持分61/130，面積10.32平方公尺）, 住宅區, "390,406", , , 
N1031507, 基隆市中正區忠義段三小段5地號, 132, 商業區, "25,876,720", "38,510,000", 5, 
N1031507, 基隆市中正區忠義段三小段5-17地號, 41, 商業區, "25,876,720", "38,510,000", 5, 
N1031507, 基隆市中正區忠義段三小段5-26地號, 39, 商業區, "25,876,720", "38,510,000", 5, 
N1031401, 花蓮縣花蓮市北濱段664-8地號, 5, 商(一)商業區, "26,908,060", "35,028,888", 1, 
N1031401, 花蓮縣花蓮市北濱段675地號, 188, 商(一)商業區, "26,908,060", "35,028,888", 1, 
N1031402, 花蓮縣花蓮市四維段144地號, 705.81, 農業區, "3,959,594", "4,001,000", 1, 
N1031403, 花蓮縣花蓮市慈雲段274地號, 167.17, 農業區, "5,715,391", , , 
N1031403, 花蓮縣花蓮市慈雲段291地號, 450.71, 農業區, "5,715,391", , , 
N1031404, 花蓮縣吉安鄉太昌段1060地號, 95, 住宅區, "2,989,650", , , 
N1031405, 花蓮縣壽豐鄉大湖腳段1023地號, 146.82, 一般農業區甲種建築用地, "537,361", , , 
N1031406, 花蓮縣光復鄉大安段143地號, 370, 農業區, "166,500", , , 
N1030601, 臺北市大安區辛亥段一小段176、176-2、178地號, 741, 第三種住宅區, "448,334,640", "448,888,999", 1, 
N1030602, 臺北市中正區中正段一小段93地號, 459, 第三種住宅區, "403,415,100", "501,688,888", 2, 
N1030603, 臺北市中正區城中段三小段118地號, 308, 第四種商業區, "599,494,280", , , 
N1030604, 臺北市中正區河堤段五小段134地號, 242, 第三種住宅區, "121,222,640", "145,341,688", 3, 
N1030605, 臺北市大同區大龍段一小段196、196-1、196-2地號, 687, 第三種住宅區, "287,172,870", "308,000,000", 1, 
N1030606, 臺北市中山區中山段四小段525地號, 91, 第四種住宅區, "60,671,520", "63,899,999", 1, 
N1031301, 宜蘭縣宜蘭市金六結段五結小段113-22地號, 33.00, 住宅區, "2,421,230", , , 
N1031301, 宜蘭縣宜蘭市金六結段五結小段G0028建號之未辦保存登記建物（宜蘭市泰山路復國巷59號）, 33.57, 住宅區, "2,421,230", , , 
N1031302, 宜蘭縣礁溪鄉玉石段555地號, 511.79（國有持分670/10000，面積約34.29平方公尺）, 住宅區, "5,057,056", "6,000,000", 2, 得標
N1031302, 宜蘭縣礁溪鄉玉石段1258建號（礁溪鄉忠孝路97巷7號1樓之1）, 約34.21, 住宅區, "5,057,056", "6,000,000", 2, 得標
N1031302, 宜蘭縣礁溪鄉玉石段1259建號（礁溪鄉忠孝路97巷7號1樓之2）, 約43.73, 住宅區, "5,057,056", "6,000,000", 2, 得標
N1031303, 宜蘭縣壯圍鄉新福段861地號, 103.00, 特定農業區農牧用地, "462,470", , , 
N1031304, 宜蘭縣員山鄉員山段193地號, 624.47（國有持分165/400，面積約257.59平方公尺）, 農業區, "4,816,933", , , 
N1031305, 宜蘭縣員山鄉深洲段740地號, 151.16, 特定農業區甲種建築用地, "7,370,942", , , 
