id, address, area, category, base price, sale price, competitors count, notes
N1030501, 臺東縣台東市永樂段113-1地號, 54.00, 住宅區, "1,601,600", "2,901,580", 5, 標脫
N1030501, 臺東縣台東市永樂段114-1地號, 34.00, 住宅區, "1,601,600", "2,901,580", 5, 標脫
N1030502, 臺東縣台東市中正段756地號, 839.00, 住宅區, "20,025,120", , , 
N1030502, 臺東縣台東市中正段363建號, 555.81, , "20,025,120", , , 
N1030503, 臺東縣台東市台東段2541地號, 1446.00, 住宅區, "41,919,540", , , 
N1030504, 臺東縣台東市台東段338地號, 973.00, 商業區, "66,202,920", , , 
N1030505, 臺東縣台東市台東段513-3地號, 243.00, 商業區, "17,680,680", , , 
N1030506, 臺東縣成功鎮忠仁段724地號, 593.35, 商業區, "10,852,372", , , 
N1030302, 臺東縣台東市台東段3-36地號, 748.00, 住宅區, "15,902,480", "19,818,588", 18, 標脫
N1030401, 花蓮縣新城鄉嘉南段173地號, 192, 住宅區, "4,728,960", "7,580,000", 5, 標脫
N1030402, 花蓮縣花蓮市慈雲段201地號, 295.40, 農業區, "3,143,056", , , 
N1030403, 花蓮縣花蓮市慈雲段202地號, 135.01, 農業區, "1,436,506", , , 
N1030404, 花蓮縣花蓮市福德段483-1地號, 267, 農業區, "2,221,440", "2,266,600", 2, 標脫
N1030405, 花蓮縣花蓮市民勤段1625地號, 963, 農業區, "28,918,890", "49,100,000", 6, 標脫
N1030406, 花蓮縣吉安鄉太昌段397地號, 335, 農業區, "3,370,100", , , 
N1030407, 花蓮縣吉安鄉太昌段1060地號, 95, 住宅區, "2,989,650", , , 
N1030408, 花蓮縣壽豐鄉大湖腳段1023地號, 146.82, 一般農業區-甲種建築用地, "537,361", , , 
N1030409, 花蓮縣鳳林鎮鳳義段195地號, 264.91, 山坡地保育區-丙種建築用地, "299,348", , , 
N1030410, 花蓮縣光復鄉大安段328地號, 622, 住宅區, "4,347,780", , , 
N1030101, 新北市雙溪區石壁坑段0135-0001地號, 407.00, 山坡地保育區農牧用地, "101,750", "140,000", 2, 
N1030102, 新北市雙溪區石壁坑段0139-0000地號, 228.00, 山坡地保育區農牧用地, "57,000", "80,000", 1, 
N1030103, 新北市雙溪區石壁坑段0141-0002地號, 485.00/(持分1/2), 山坡地保育區農牧用地, "60,625", "60,700", 2, 
N1030104, 新北市雙溪區石壁坑段0141-0003地號, 790.00/(持分1/2), 山坡地保育區農牧用地, "98,750", "98,800", 2, 
N1030105, 新北市貢寮區大石壁坑段0331-0001地號, 427.00, 山坡地保育區農牧用地, "93,940", , , 
N1030106, 新北市貢寮區貢寮段內寮小段0656-0000地號, 2944.00, 山坡地保育區農牧用地, "647,680", "1,086,000", 6, 
N1030110, 新北市平溪區十分寮段南山坪小段0021-0025地號, 4.00, 道路用地, "7,516", "30,000", 4, 
N1030111, 新北市平溪區十分寮段南山坪小段0021-0001地號, 65.00, 住宅區, "188,500", "1,120,000", 6, 
N1030112, 新北市平溪區十分寮段南山坪小段0021-0010地號, 2.00, 住宅區, "5,694", "35,000", 4, 
N1030113, 新北市平溪區十分寮段南山坪小段0021-0011地號, 11.00, 住宅區, "31,900", "190,000", 5, 
N1030114, 新北市平溪區石底段白石腳小段0085-0003地號, 2037.00, 森林區農牧用地, "957,390", "2,888,000", 7, 
N1030115, 新北市平溪區十分寮段南山坪小段0065-0001地號, 3740.00/(持分1/2), 山坡地保育區農牧用地, "841,500", , , 
N1030301, 基隆市中正區日新段三小段10-12地號, 69, 商業區, "11,946,020", "12,009,888", 1, 
N1030301, 基隆市中正區日新段三小段54建號, 121.26, 商業區, "11,946,020", "12,009,888", 1, 
N1030302, 基隆市七堵區友蚋段十四坑小段119-5地號, 684（國有持分2/72，面積19平方公尺）, 山坡地保育區農牧用地, "46,360", , , 
N1030303, 基隆市七堵區溪頭段172地號, 295.82（國有持分1/48，面積6.16平方公尺）, 倉儲區, "230,754", , , 
