id, address, area, category, base price, sale price, competitors count, notes
N1010101, 臺北市信義區吳興段三小段0273-0000地號, 15.00, 第三種住宅區(特)(遷), "1,920,000", "2,161,195", 2, 
N1010102, 臺北市文山區華興段一小段0433-0000地號, 61.00, 第三種住宅區, "10,817,984", "39,666,666", 2, 
N1010103, 臺北市文山區木柵段二小段0599-0000地號, 51.00, 第三種住宅區, "6,324,000", , , 
N1010104, 臺北市士林區天母段四小段0326-0000地號, 22.00, 第二種住宅區, "3,454,000", , , 
N1010105, 臺北市士林區永平段二小段0097-0001地號, 25.00, 第三種住宅區, "2,435,000", , , 
N1010106, 臺北市士林區福順段二小段0250-0000地號, 8.00, 第三之二種住宅區, "1,436,000", , , 
N1010107, 新北市永和區樂華段0649-0000地號, 40.69, 部分住宅區部分商業區, "9,109,230", "61,620,000", 4, 
N1010108, 新北市雙溪區雙溪段雙溪小段0030-0001地號, 15.00, 住宅區, "156,000", "168,888", 1, 
N1010401, 新北市永和區民治段983建號, 74.49, , "4,686,877", "5,220,000", 7, 
N1010401, 新北市永和區民治段765地號, 101.36(持分1/4), 住宅區, "4,686,877", "5,220,000", 7, 
N1010402, 新北市淡水區長興段1179建號, 85.50, , "3,439,947", , , 
N1010402, 新北市淡水區長興段727、728、729、730、735地號, 86.49(持分1/4), 住宅區, "3,439,947", , , 
N1010403, 新北市新店區民權段428地號, 119.43(持分1/2), 住宅區, "9,687,539", , , 
N1010404, 新北市土城區頂福段777地號, 13.88, 住宅區, "1,257,528", , , 
N1010405, 臺北市信義區逸仙段三小段229地號, 24(持分1/2), 道路用地(公共設施用地), "4,262,400", , , 
N1010101, 臺北市信義區逸仙段三小段229地號, 24(持分1/2), 道路用地(公共設施用地), "3,844,800", , , 
N1010102, 新北市土城區頂福段777地號, 13.88, 住宅區, "1,257,528", , , 
N1010103, 新北市新店區新和段2419建號, 66.04, , "3,797,356", "3,805,000", 1, 
N1010103, 新北市新店區新和段282地號, 210.69（持分1/4）, 第三種住宅區, "3,797,356", "3,805,000", 1, 
N1010104, 新北市淡水區長興段1179建號, 85.50, , "3,439,082", , , 
N1010104, 新北市淡水區長興段727地號, 17.11（持分1/4）, 住宅區, "3,439,082", , , 
N1010104, 新北市淡水區長興段728地號, 17.57（持分1/4）, 住宅區, "3,439,082", , , 
N1010104, 新北市淡水區長興段729地號, 17.56（持分1/4）, 住宅區, "3,439,082", , , 
N1010104, 新北市淡水區長興段730地號, 17.12（持分1/4）, 住宅區, "3,439,082", , , 
N1010104, 新北市淡水區長興段735地號, 17.13（持分1/4）, 住宅區, "3,439,082", , , 
N1000101, 臺北市大安區通化段四小段265建號, 45.96, , "443,700", "2,699,000", 19, 
N1000102, 新北市永和區民治段983建號, 74.49, , "5,858,840", , , 
N1000102, 新北市永和區民治段765地號, 101.36（持分1/4）, 住宅區, "5,858,840", , , 
N1000103, 新北市土城區頂福段777地號, 13.88, 住宅區, "1,257,528", , , 
N1000104, 新北市泰山區黎明段914地號, 3.93, 學校用地, "289,140", "411,900", 3, 
N1000104, 新北市泰山區黎明段914-1地號, 3.39, 道路用地, "289,140", "411,900", 3, 
N1000105, 新北市新店區民權段428地號, 119.43(持分1/2), 住宅區, "13,454,916", , , 
N1000106, 新北市新店區新和段2419建號, 66.04, , "3,797,356", , , 無效標
N1000106, 新北市新店區新和段282地號, 210.69（持分1/4）, 住宅區, "3,797,356", , , 無效標
N1000107, 新北市淡水區長興段1179建號, 85.50, , "3,439,082", , , 
N1000107, 新北市淡水區長興段727地號, 17.11（持分1/4）, 住宅區, "3,439,082", , , 
N1000107, 新北市淡水區長興段728地號, 17.57（持分1/4）, 住宅區, "3,439,082", , , 
N1000107, 新北市淡水區長興段729地號, 17.56（持分1/4）, 住宅區, "3,439,082", , , 
N1000107, 新北市淡水區長興段730地號, 17.12（持分1/4）, 住宅區, "3,439,082", , , 
N1000107, 新北市淡水區長興段735地號, 17.13（持分1/4）, 住宅區, "3,439,082", , , 
N1000108, 新北市三峽區礁溪段586-4地號, 332(持分1/5), 一般農業區農牧用地, "491,360", "550,000", 2, 
N1000109, 新北市三峽區大埔段二鬮小段42-1地號, 854（持分11/10000), 山坡地保育區水利用地, "10,989", , , 
N1000109, 新北市三峽區大埔段二鬮小段42-2地號, 152(持分11/10000), 山坡地保育區林業用地, "10,989", , , 
