id, address, area, category, base price, sale price, competitors count, notes
N1030523_03_01, 宜蘭縣壯圍鄉壯濱一段0691-0000地號, 509.41, 一般農業區農牧用地, "662,233", "698,889", 3, 得標
N1030523_03_02, 宜蘭縣壯圍鄉新福段1203-0000地號, 510.00, 特定農業區農牧用地, "1,122,000", "1,542,700", 5, 得標
N1030523_03_03, 宜蘭縣冬山鄉梅山段1132-0000地號, 10992.03, 山坡地保育區農牧用地, "6,155,537", , , 
N1030523_03_04, 宜蘭縣冬山鄉梅山段1133-0000地號, 1986.79, 山坡地保育區農牧用地, "1,112,602", "1,126,000", 1, 得標
N1030523_03_05, 宜蘭縣員山鄉隘界三段1088-0000地號, 2886.14, 山坡地保育區農牧用地, "808,119", , , 
N1030523_03_06, 宜蘭縣宜蘭市梅洲段0477-0011地號, 65.00, 特定農業區農牧用地, "221,000", , , 
N1030523_03_08, 宜蘭縣宜蘭市梅洲段0477-0003地號, 448.00/(持分42/448), 特定農業區農牧用地, "142,800", "260,000", 1, 得標
N1030523_03_10, 宜蘭縣宜蘭市凱旋段0449-0001地號, 118.00/(持分1/2), 特定農業區交通用地, "218,300", "218,300", 1, 得標
N1030523_03_11, 宜蘭縣宜蘭市坤門二段1041-0000地號, 12.35, 住宅區, "1,264,960", "1,264,965", 1, 得標
N1030523_03_11, 宜蘭縣宜蘭市坤門二段1042-0000地號, 11.25, 住宅區, "1,264,960", "1,264,965", 1, 得標
N1030523_03_12, 宜蘭縣五結鄉大吉一段0207-0000地號, 110.10/(持分1/2), 特定農業區農牧用地, "181,665", "182,000", 1, 得標
N1030523_03_13, 宜蘭縣頭城鎮大坑罟段0079-0004地號, 534.00/(持分1/10), 住宅區, "901,232", "901,233", 1, 得標
N1030516_02_01, 臺東縣成功鎮沙泥灣段0131-0000地號, 1787.88, 風景區農牧用地, "286,061", "380,576", 9, 標脫
N1030516_02_02, 臺東縣成功鎮沙泥灣段0132-0000地號, 575.51, 風景區農牧用地, "46,041", "135,000", 11, 標脫
N1030516_02_03, 臺東縣成功鎮沙泥灣段0133-0000地號, 852.77, 風景區農牧用地, "68,222", "256,000", 13, 標脫
N1030516_02_04, 臺東縣成功鎮新都威段0949-0000地號, 879.56, 風景區農牧用地, "246,277", "458,800", 12, 標脫
N1030516_02_05, 臺東縣成功鎮新港段八邊小段0357-0000地號, 640.00, 風景區農牧用地, "70,400", "81,100", 3, 標脫
N1030516_02_06, 臺東縣東河鄉高原段0933-0004地號, 1915.00, 森林區農牧用地, "363,850", "458,800", 4, 標脫
N1030516_02_07, 臺東縣長濱鄉大俱來段0631-0000地號, 776.46, 風景區農牧用地, "217,409", "316,888", 3, 標脫
N1030514_12_01, 桃園縣蘆竹鄉公埔段683地號, 420.36, 住宅區, "85,841,415", "86,868,000", 1, 
N1030514_12_01, 桃園縣蘆竹鄉公埔段684地號, 182.09, 住宅區, "85,841,415", "86,868,000", 1, 
N1030514_12_01, 桃園縣蘆竹鄉公埔段685地號, 112.42, 住宅區, "85,841,415", "86,868,000", 1, 
N1030514_12_01, 桃園縣蘆竹鄉公埔段685-1地號, 57.78, 住宅區, "85,841,415", "86,868,000", 1, 
N1030514_12_02, 桃園縣龍潭鄉燈潭段269地號, 42.32, 一般農業區農牧用地, "556,303", "611,000", 2, 
N1030514_12_02, 桃園縣龍潭鄉燈潭段270地號, 53.76, 一般農業區農牧用地, "556,303", "611,000", 2, 
N1030514_12_03, 桃園縣楊梅市瑞坪段73地號, 969.86, 農業區, "14,119,885", "14,505,000", 1, 
N1030514_12_03, 桃園縣楊梅市瑞坪段74地號, 606.02, 農業區, "14,119,885", "14,505,000", 1, 
N1030514_12_04, 桃園縣龍潭鄉九座寮段2870建號, 161.70(含已登記面積100平方公尺，未登記面積61.70平方公尺), 鄉村區乙種建築用地, "3,309,900", , , 
N1030514_12_04, 桃園縣龍潭鄉九座寮段196-168地號, 65.00, 鄉村區乙種建築用地, "3,309,900", , , 
N1030514_12_05, 桃園縣龍潭鄉新烏樹林段184建號, 77.38, 一般農業區甲種建築用地, "3,329,926", , , 
N1030514_12_05, 桃園縣龍潭鄉新烏樹林段484地號, 51.38, 一般農業區甲種建築用地, "3,329,926", , , 
N1030514_12_06, 桃園縣蘆竹鄉南山段466地號, 1490.13, 乙種工業區, "39,086,110", "39,088,888", 1, 
N1030514_12_07, 桃園縣大溪鎮番子寮段308-28地號, 97.00, 一般農業區農牧用地, "466,842", , , 
N1030502_11_01, 基隆市仁愛區延平段386地號, 213（國有持分1/1，面積213平方公尺）, 住宅區(住三), "17,565,010", "23,000,000", 2, 
